"id","text","Extr","Open","Cons"
"VLOG1","You know what I see - - no, more like hear a lot these days, is people calling other people gay as an insult. Now what makes people come up with calling others gay? Now here's an example. Hey, hey, you wanna trade Pokemon or Ziegfield cards? Or, or, or we can play, we can play superheroes. Oh, can I be Optimus Prime? Dude, you are so gay. Dude, the cool kids do crack. Oh, my mommy says, say no to drugs. Okay, how the hell does playing Pokemon cards or -- or --- or dancing or holding hands with another guy make me homosexual? I don't get these people.This is how it is in my school. Okay, here's an example. All right, um, when they see two guys are gay, they're together, they're like no, ew, no. No, no that -- that doesn't go together - - you know, two guys, no. two sticks, no. It just doesn't work like . But when they see two girls, they're like, get it on. And I don't get these people. I've never seen someone say like, oh, you're so homosexual or you're so lesbian or you're such a child molester. It is always the word gay, cause apparently gay is now an insult, even though the word means like happy and lively and that kinda giddy feeling you have inside, like -- -- but no you have to turn that happy word into a mean word. Apparently, we can do that now, turning good things into bad things. It's like how Spiderman felt good, but then that -- that -- that grease that gets all over him and then and then evil Dr. Octopus. That's so gay, you like Spiderman. Lar, I'm going to the movies with the guys to watch Mama Mia.You never know if other people are offended by what you say. I'm not saying you're a bad person if you do it. I used to do it all the time. I'm more focused on why we say it. In the end, we're all the same. You know, there's nothing wrong with it. I was just wondering where it all came from, you know. All right, thanks a lot for watching. Oh, yeah and the club channel is up and running. So, make sure to check that out because there's gonna be a lot of cool stuff on there. We'll do up to like four challenges at a time. We'll do contests, dares, questions. In the end, there's gonna be a lot of viewer interactions, so it's gonna be really fun. We may even put other people on the video too. So check it.","High","High","Low"
"VLOG10","﻿Hey everybody, it's Monday, July twenty seventh, two thousand and nine and that means it's time for another edition of XXXX.Governor Palin's back in the news this week as she transitions from Alaska governor to Alaskan citizen. Pending all power to Lieutenant Governor Parnell, she had a few choice words for the Media.It is, as throughout all Alaska, that big wild, good wife teaming along the road that is north to the future. That's what we get to see every day. Now what the rest of America gets to see along with us, is in this last frontier there is hope and opportunity and there is country pride. And it is our man and women in uniform securing it. And we are facing tough challenges in America with some seeming to just be hell bent maybe on tearing down our nation, perpetuating some pessimism and suggesting American apologetics.What?And we can resist enslavement to big central government that pressures hope and opportunity. Be wary of accepting government largesse. It doesn't come free and often accepting it takes away everything that is free. Melting into Washington's powerful, caretaking arms will just suck incentive to work hard and charge our own course right out of us.Uh, wait. Is that -- no way, what? She made a good point there at the end. But sometimes I have to wonder if I'm listening to Sarah Palin or Nicholas Fain .In other news over the weekend I heard the story of Troy Anthony Davis. Do you know who he is? You should.Mister Davis was sentenced to death for the murder of an off duty Savannah, Georgia police officer named Mark McPhail back in nineteen ninety one. Davis was convicted solely on the testimony of nine eye witnesses. Since that time three eye witnesses have recanted, admitting that they were coerced and two other eye witnesses admitted that they never even saw the murder take place.Despite a wealth of information that has been presented to the court and some new evidence yet to be presented, Mister Davis remains on death row after eighteen years. For more information about Troy Anthony Davis and how you can help in his case, check out IAMTROY dot com.That's all I've got for this week for everybody. I hope you enjoyed the show because although I started recording on Monday, July twenty seventh, it's Tuesday, July twenty eighth and that time has come. Gotta get out of here for work, new work schedule, so until next time, keep checking out XXXX dot com for daily blog posts, updates and etcetera and meet me back here Monday for new video or XXXX. Thanks for watching.","High","Low","High"
"VLOG100","﻿Hi, what's up? Um, today I went to school and um, um, I was late for my first class because, um, it was really hard for me to get up 'cause it's a Friday. Thank God it's Friday! Um, I didn't have, um, Business Mathematics class because there was a party going on -- a Christmas party thingy going on at school and then I attended my six to nine class but it was only for an hour and I was so psyched because um, um, so everyone were passing their um, term paper and I've already passed mine two weeks ago. But I was lacking footnotes and research -- I -- I mean, and references but um, like he didn't return it, he didn't return mine. And so after he discussed, um, how to make term papers and he ended the class, I went to him and asked if I could get it and stuff and -- he's an ambassador so it was pretty, like, um, scary to ask and he was really, like, terror ish so. But uh, it was really cool that he knows me. He called me by my name and he said that I should just do good in my final exams and that um, my uh, term paper was okay and that's really awesome, so yeah. Um, yeah, that really psyched me and I'm really happy about that.After that I went to, um, I went to, um, a bazaar in -- in the city -- in -- yeah, in the city -- with -- with my best friend and -- and his mom. So it's pretty cool. Anyway, I got to shower and head to bed because, um, my friend's celebrating her eighteenth debut -- I mean her eighteenth birthday -- her debut tomorrow.So, yeah. Later, bye.","Low","Low","High"
"VLOG102","They had -- don't have any food - maybe more -- I don't know -- oy. Start, start, start the fire. Come on, come on, let . Start, start, start the fire. What you waiting for now? Start, start, start the fire. Come on, come on, let it out, . Start, start, start the fire. I know you're never gonna wanna stop. Yeah.Hey guys. So no new news has come out yet, for at least myself, about auditioners all chat. I know I'm still waiting and so are a lot of people that I auditioned with in Ann Arbor and a lot of my b fan friends. So hold out for us. We're hoping that we get, um, character performer. So that'll be fun.But I know I keep getting yelled at, like I'm nervous about waiting for character performer results. But everybody's like, it doesn't matter, you're already in the program, you're already going down, you have attractions so what's there to be worried about? So not much new, well yeah.So nothing new's been going on with me. We're chilling at school right now. Um, the semester's crazy busy, coming to a close. There's half a week this week 'cause this week's Thanksgiving, then all week next week and then I only have like three finals. So I only have finals on Tuesday, Wednesday, and Thursday and that's if I have my final on Thursday. I hope not. That would be awesome.I am, uh, really excited for the semester to be over. I'm sad but I'm happy. I mean I'm sad because it means that I'm not gonna see anybody that I see at school all the time anymore. I only have two -- just under two -- well just about two weeks, uh, to see them, left. So they haven't scheduled times to get together with me so I guess they don't care. Ouch.Seven weeks until I am in Florida. I will be in Florida -- in Orlando -- seven weeks from today. I leave in forty seven days, I think. I leave the Saturday before my check in. My check ins January thirteenth, if I can't say that enough. And it's going to be a lot of fun. I'm really excited for my trip down. Um. I'm going with a certain somebody. I don't know who. You might. I don't know. Do you know this guy?Probably, because I'm there.Yeah.I'm there. I'm there. Yeah.Yes. I am driving down hopefully. We're -- we're still caravanning. I mean I don't know if he's changed plans on me again. Last I talked to him -- for the last two weeks we've been talking about caravanning down. We're both driving our cars so Ran and I are going to caravan down to Florida. So we're leaving Saturday. Again it's Wednesday. So we're gonna go either to Disney or Universal or Sea World or something or just chill in Orlando for a couple days. That'll be fun.And then on Wednesday when we check in or Tuesday night if you go to the dinner, um, last I heard the dinner is -- uh -- going to be at the Ale House I believe. If not there I think it's B. Dobs if it hasn't been decided. I'm really excited.Also -- um -- for December twenty first, it scares me. These three guys have been planning a Disney CP get together. And you know who they are. You don't name names but if I must name names they are three -- well -- infamous waters. Uh, we'll go here, we'll go here, and we'll go here. Will, Ryan, and John. They have started planning a CP Past, Present, Future get together in the windy cindy -- win -- windy. In the windy -- in Chicago. It's under the Bean -- I guess is where we're gonna meet. We're gonna meet by the Bean in Chicago. If you don't know what the Bean looks like, here's a picture. I went like two years ago. That's my Bean picture. We are meeting in Chicago and it's supposed to be Monday, December twenty first from two to five.If you live in the area and want to go, message one of the boys. I will put it in my sidebar, how to get a hold of them. Um, those are their blogs so you can just go message them through YouTube and let them know that you either have ideas for going -- um -- or -- well ideas for things to do. If you want to go, here's the event link. I'll put that over there too. There's the sidebar. There's -- so you can go there. And it's -- it sounds like it's going to be a lot of fun. So far there's like 10 or 12 people that are going. And I'm excited because it's a lot the people that I know or that I can't wait to meet. So I've already met XXXX and XXXX, as you know.I love this. I wish we had a camera -- a stack of cameras.If you didn't know already, I met XXXX and XXXX. John's gonna be there, John XXXX. I'm very excited to meet Nick. We've been talking since May. So that'll be fun. Who else is going? Ashley lives like forty minutes away from me. And if she actually goes then her and I are going to carpool. So that'll be a fun road trip hanging out with her down I think the twentieth or twenty seventh for the CP. We live forty minutes away and we'll both be down in Florida together.And there's a couple other people. Um, I heard my roommate Mandy is coming up with her mom. So that makes me really excited. I get to see her -- bottom up -- before we arrive. And then I hope my roommate -- I nicknamed all of them -- will be there. She hasn't said if she's going or not. to talk about it. I hope she's going to be there too. That'll be fun to see her again. So it'll be a nice little mini reunion. Um, a mini meet -- in -- ahead of time I guess -- to meet all of these people. And it's going to be a lot of fun. So see the sidebar if you want to go.And other than that I'm still waiting for results and -- oh, um, everybody knows this but Space Mountain opened today I guess. Yeah. It's today. Toss some Disney news in there. They've been doing soft openings all week and finally opened. Disney -- there -- there's some really cool videos about, uh, the parks that have been posted on YouTube. Uh, one is about them setting up all the Christmas decorations in the front of Magic Kingdom so sidebar will have that link.I was tipped off yesterday -- I know I'm stealing his thunder and he'll kill me for it later if he watches my blogs. I was told yesterday by Nick that -- all about the mouse pod cast on iTunes -- what were pod casts -- yeah -- about the mouse pod casts that's on iTunes -- whatever. That's how I found it. Did an episode this week where they talked about the CP. I started listening to it. It's about twenty minutes into the pod cast that they actually get to the CP portion and it involves one of the skippers. That's -- that's pretty cool. You can go listen to that. Um, I'll give details so you'll remember in the sidebar. I think that's it. This is a pretty long blog. Other than that I'm really excited. Uh, two weeks left in the semester. Seven weeks -- spend time in Florida. I'm already packing as you can tell. This used to have a bunch of pictures behind it. And this wall had all these pictures and they're all packed. They're all gone. I packed my summer clothes, my closet. I'm packing more -- um -- well soon more packing instead of doing homework. I have a lot of homework to do too. That's bad. So -- but I am going to go and I hope everyone has a magical day. And we'll see you real soon.","Low","Low","Low"
"VLOG103","Hi XXXX, it's XXXX, and this is just a quick little update to let you know how I'm doing. Um, I went to a retreat with the church, um, last weekend and, um, when I got up there, I couldn't eat anything. Um, my -- I don't know if it was like the altitude or like what, but my band got really tight and I couldn't eat anything. When I came back, um, my weight was down to on seventy seven. Um, and then after a couple of days of being home, then my weight started to get back to normal but I still couldn't eat so I had to go back to see my surgeon and get a little bit of food out of my band and they took out one cc, putting me at four point two.Everybody, this is XXXX. Um, I'm on my retreat right now. I got here last night. It was -- it was dark when I got here, so, uh, I came last year but, um, this year I came with the intentions of running in the mornings. Well, last night I was all pumped, looking to get up early this morning and run, so I get up early, earlier than I'd like to at least, um, start running. Before I know it, I'm going downhill and suddenly I'm going uphill. It's cold and, uh, my Central Valley California self is evasive. So, I wanted to do a video, and I wanted to run. Came back out of here to the little trail they out here in the neighborhood. You can see me and just like the other part that I was running on, it's all uphill and downhill and it's raining. It's muddy and it's wet. And I'm not exactly sure where I'm at. But I'm looking to stop walking at least. I don't think I'm going to get any more running done. Now, I brought my jump rope with me. If I had any brains in my head, I would go back and jump rope for however long 'til I decided to pass out. But now I'm half way through this little adventure of mine. It feels like I'm going to die. I was thinking, this is going to be a breeze 'cause I went to the gym only. I've been running a mile, you know, and I've been doing it under ten minutes, I feel like I'm gonna die now seriously. Breather, really quick. When I get to the top, because standing at an angle is no fun. I said the top and the more steps I take, the more higher it gets. Geez. So, my sister's going to see this video posting and she's going to laugh at me. I'm really -- I've got to stop. If, uh, I don't know if you can see down there. I'm pretty high, I mean, way down there is the cars. I don't know if you could see them or not. Ooh, let's not fall off the side though. Okay, my cousin got up with me. She said, Let's go down to the showers and take showers and get ready for our day today.  I want to run before I take a shower and she's just like, What?  She's like, Well, I got flip flops on so I'm not running with you.  I swear I saw sneakers in her bag though. Rachel. I feel like I'm gonna die. Looks like I'm almost there guys. Looks like I'm almost there. I have not breathed so hard in forever. This uphill stuff is just not my thing. Course I didn't think it was uphill when I started. Looks like it's going down guys. I've been walking, the video says four minutes and fifty one seconds. But I turned it on half way through. I'm starting to make my way downhill. Over there must have been the cabins. And then -- okay. Not sure what that is. Don't look like a kitchen. Maybe these are the cabins. Maybe I found my way back to the cabins. Should I share my music? Right, this song's forty minutes long. Let's see, where's my cabin? I should go wake everybody up. I don't think this is my cabin though. I think I'm lost. I'll do another later. I think I'm lost right now in the woods, in the rain and it's wet. Oh, this is kind of weird. I'm like I have to get in so I guess I'm going around, again. Okay, well it was nice seeing you guys and I'll have to splice this video later. All right, bye.","Low","Low","Low"
"VLOG104","What's the one thing you can't go a day without? Okay, you have food and water and breathing. So, those are a given. Ron, you know what I'm talking about. Right.Ninety eight percent of you -- I'm really just making that statistic up, but I'm venturing a guess that it's pretty close to being right -- ninety eight percent of you can't go a day without listening to music, and most of that music that you listen to wouldn't be there if there wasn't someone to teach it.That's why this year, for the project for Austin , I'm going to talk to you guys about VH1 Save the Music program. Music programs are something that are really close to my heart, and it's something that I spend a lot of time with. I was in concert bands for seven years throughout um, junior high and high school, marching band all four years of high school, color guard and winter guard all throughout high school, and I've danced basically since I could walk, so for the last seventeen years.Every single one of those activities involved some kind of music, whether it's playing it, learning new music, learning a new instrument, listening to it, choreographing routines to it, whatever, it invov -- it involves some kind of music, and that music wouldn't be there if there wasn't a program for someone to teach.When I graduated from high school in two thousand and six, our band program consisted of almost two hundred fifty members, and our choir program was equal in size. high school now has two high schools, and the music programs at both high schools consist of about one hundred students each.It's not so much the interest in the programs are dropping; it's the fact that there aren't funds to make these programs possible any more. The VH One Save the Music Foundation provides grants of new musical instruments to public, elementary and middle schools that don't currently have any instrumental music program in place. Most of these schools don't have a program already in place because there's just not the funds to teach it. The school district doesn't have the funds to buy the instruments or to hire the directors or to buy music.It may not seem like it, but if you walk into any high school band room, the equipment and the instruments that are in that room are probably equal to a value of the school itself. Even if your school district doesn't qualify for a grant from the Save the Music Foundation, there are a ton of things you can do to keep programs running. The next time your local band or choir comes knocking on your door for a can or bottle drive, see what you have. Give it to them. Chances are you're just going to throw it out anyways.Okay, so it is the middle of December, and it's not really football season any more, but next fall, any Friday night football game, take a second. Watch the band perform at halftime. Even just watching shows support.Does your town have some kind of local fall festival? Winter festival? Anything like that? Chances are there is a band or choir performing at it. Check 'em out. See what they have to offer. Most music programs put on about five or six concerts a year in addition to performing at football games, parades, graduation ceremonies, and things like that.Even if you can't afford to help out the programs financially, just by showing up is some kind of support. A lot of programs will do a bottle drive or a canned food drive at the concert itself in the place of an admission fee. It's a great way to donate and a great way to stay involved with whatever is going on.So next time you're dancing around your room to your favorite song on the radio -- and you know which one I'm talking about take a second and think about how your life would be if you didn't have that music, if there hadn't been anyone to teach that music.I'm going to post a link in the sidebar to the VH One Save the Music program website and also to another great video at one of my uh, favorite bands put out this morning, the Oceanic Six. They also did the Save the Music program, and you can check out their latest single, which is at the end of their video as well.And I'm going to try to post this as a video response to that and see what happens.So, links in the sidebar. Go check it out. Support your local music program; it's a great thing.","High","Low","High"
"VLOG105","Hello everyone, as you can see it's not Thursday, but I don't care if I own half of this channel I believe that, you know, I can do what ever I want. We don't have any rules. Anyway, the actually reason that I didn't persevere this Tuesday was because well one, posted on Monday and it just seemed weird to post on Tuesday, and two, I was absolutely shattered. Why, you might ask? Well, let's go into that now. See you all had a four day weekend in England well or Crawley to be exact. That is just half and hour by train south of London and it was very good and I have been vlogging about it on my personal channel -- oh, that reminds me, I should really post the last post of that. I should really get on that. So, it's been an eventful week after the whole karate thing. On Monday we went into London and we went to the British Museum for this exhibition and it was really good. We went around London and saw all the sights and stuff kind of got a visit. And I got loads of photos and stuff, which will probably be going on my last video on my personal channel and then on Tuesday, we had like half a day cause we had to like get to the airport then so we went into Crawley, into the actual town, and we went into HMV and got some DVDs one of which was this, Dark Than Black volumes one and two which is episodes one to ten. Very good series, I really do recommend it and then, as I said, after we got back, I was shattered and then I was back to school on Wednesday, the entire day of which we went on this careers exhibition at Rotterdam Park Hotel in Quark. It's this thing where loads of colleges and universities from the UK and Ireland are represented and I got plenty of literature such as this CIT prospectus and, you know, it was very informative, very interesting and it wasted the day. And on Thursday it was back to proper school and that was real culture shock and then it was today and I am now reading this book The Star that's written by H. G. Wells. It was written in like the thirties or something, but it is very good, I would recommend this as well. And over the weekend I have to do an art essay and I've opted to do this film for it, so that should be fun. I think that is everything. Ah, Luke, I will see you whenever. What was that? I don't know. What was I going for there? On to the music section.","High","High","High"
"VLOG106","Hello everybody. So today marks a really cool day. You guys can go, right now, and download my song off of iTunes. I know what you're saying, what, XXXX, your song? Since when do you sing? I don't sing, and I know enough about music to know that I'm not a singer. Erm, but what I did, is, I worked with a really, er, a very talented, very cool, group of people out of Europe to create, like, a trance/techno, er, song, and I did voice over for it. And what they did with it, is just, it's freaking awesome, and I'm telling you, it is hot. It is like, have awesome sex to it hot. Erm, so, you probably, you just heard a little bit of it and you can go over to iTunes, you can hear a sample of it, and, it's just -- it is so -- I think you guys are going to absolutely love it.Now, here's the thing. If you guys don't love it, I'm not going to do music video, erm, but if you guys love it as much as I think you will, and hope you do, erm, and if sales over there are, you know, adequate enough, we're gonna make a really, really kick ass music video, erm, to probably put on YouTube, and then to also sell on iTunes. But to put out there on YouTube so you guys can see it, erm. We have a production team put together -- er, it could be just so, I mean, hear the song, use your imagination, it's going to be an awesome, awesome video. Erm, if you guys are interested in the song. So I'm going to put the link, over here, and, erm, yeah, over there you can like, download it, not just from iTunes, but if you use other programs, like Amazon, Rhapsody, Napster, all of those, you can download it from like this hub. Erm, so I'm really excited, and please, oh my goodness, please write me, and tell me what you think of it, because that is awesome. And when way you can tell me what you think of it is by calling my number, erm, for those of you, you totally came to use this to work out what the hell that number is, thinking I'm a psycho, who's put my personal number out there on the internet, you can choose to, whether or not you want to, you don't have to if you don't want to call it, but you can choose to sign up for alerts, each time I have news, erm, it can get sent to your 'phone, and, and of course like the main point is that you guys can leave me messages there.So, anyway, I think it's hot as hell, and you know, I ramble on and on, so I'll actually keep this, maybe, under five minutes, I don't know, we'll see. Erm, I love you guys, and I will talk to you really, really soon. I just had something like, five popsicles, so I'm hyper. Okay. I love you guys, mwa, mwa, 'bye.","High","High","Low"
"VLOG107","﻿All right. So, I'm a total liar and I don't blame you if you unsubscribe, but, huh, if you're not going to keep watching my videos for me, at least keep watching them for him. What do you think about that song?I've been here for thirty something years looking at myself in the same dirty mirror.Isn't it always kind of weird when you get, like, randomly called by someone? And then they leave a voice mail. I'm kinda scared to hear it, 'cause that was somebody I met at a coffee shop, like, a month ago and I got their number and they are just, like, calling me and it's really weird 'cause it's, like, three in the afternoon.Who calls someone they met -- met at a coffee shop at three in the afternoon, like, a month after they met you? I don't know, maybe I'm just being weird. I don't think -- I think they're really cool; it's just kind of strange like.I bet it's, like, one of those calls, like, Hi, I found this number in my phone and I was wondering who it is? This is Jamie, you met me at a coffee shop, remember, I'm really awesome.  We'll see, we'll listen to the message. Maybe I'll listen to it and then I'll let you listen to it, but probably not.So, my tattoo. Yes, I still have it. Imagine that. All right, so I think in my last video I said it was a milk thistle. Um, I said that it was a Scottish flower, but actually, it doesn't grow in Scotland, it grows in Middle Eastern regions. Um, just to clear that up, but people of Scottish heritage do get it as a -- as a tattoo.Um, it's usually more of a stylized version -- it looks more like a symbol rather than the actual plant. Um, whereas I went for a more detailed look, but anyways, now down to spiritual meaning.So the milk thistle plant has been regarded for centuries and centuries as a very highly powerful medicine, um, in terms of, um, it has been used for detoxification of the liver and also it's known for its anti cancer effects, which are two pretty awesome things. Um, you can actually buy milk thistle extract at Wild Oats.Silence .And the reason why those two attributes of the plant really spoke to me and I thought it be a good thing to perm -- permanently adorn my body with is because one, alcohol -- alcoholism is something that really affects my family. Um, my aunt is in her sixties and right now, she's suffering majorly from the long terms effects -- long term effects of alcohol.Um, I personally have had issues with alcohol. I started drinking when I was 12. Um, I -- I was kind of a crazy kid for a while and -- so I wanted to put this thing permanently on my body, um, have it be the thorn on my -- the thorn in my side. God, I can't talk today. The thorn in my side to constantly remind me never to put my body in jeopardy for mental comfort.Because I'm a firm believer that anything that's going to put your physical health in jeopardy, isn't going to bring you mental comfort in the long run. Um, I think that mind, body and soul, spirit, they will -- they should be able to be happy all in the same context and in harmony with each other and so you need to keep finding that perfect balance between mental happiness and physical happiness before you are going to be truly happy.So, I have a thorn in my side to always remind me of that. Um, and I don't mean not to drink, I do enjoy, you know, well actually I don't 'cause I'm only twenty, so it's illegal.Anyways, and then the anti cancer effects, um, that's pertaining to my grandmother. She is a breast cancer survivor. She had her right breast removed and so my tattoo's on my right side.Pretty simple, um, but definitely a deep meaning and I'm guessing you want to see it again because the last video I did was pretty shitty, it was pretty dark and I was all giddy and I just wanted to really quickly show it to you. And it probably looks something like a demented elephant head.I'm not sure, but, uh. I actually made some footage a couple days after I got it, 'cause right now it's peeling or else I'd, like totally show you. But, um, I made some footage like three days after I made that first video, 'cause I was going to post a video like I promised, but I didn't get around to finishing it, so I'll just show you that 'cause that shows it pretty well and it's not peeling and it looks cool.So here goes.","Low","High","Low"
"VLOG108","﻿Hi, I was watching the video about Brittany Murphy, and I understand I was in shock when I found out she died. Not so much that Brittany Murphy herself died, but more that she died young. Like, Karen Carpenter, you know, in cardiac arrest, very young. Something that could have easily been preventable. It makes me think about what am I going to do with my life? Um, how much more time do I have to live? What about people who are in Iraq, dying of preventable diseases like AIDS, swine flu, stuff like that. Brittany Murphy, at least is seems, lived a full life despite that she died so young, and it makes me think what are we going to do when we die? I want you to listen to this clip I got from CMT; and after I speak on it tell me what you think. In case you don't recognize the song, it's Tim McGraw's Live Like You Were Dying. Listen carefully.I was in my early forties,With a lot of life before me,And a moment came that stopped me on a dime.I spent most of the next days,Looking at the x rays,And talking about the options and talking about sweet time.I asked him when it sank in,That this might really be the real end?How's it hit you when you get that kind of news?Man whatcha do?I went sky diving, I went rocky mountain climbing,I went two point seven seconds on a bull named Fu Man Chu.And I loved deeper and I spoke sweeter,And I gave forgiveness I'd been denying.Some day, I hope you get the chance,To live like you were dying.He said I was finally the husband,That most the time I wasn't.And I became a friend a friend would like to have.And all of a sudden going fishing,Wasn't such an imposition,And I went three times that year I lost my Dad.Well, I finally read the Good Book,And I took a good long hard look,At what I'd do if I could do it all again,I went sky diving, I went rocky mountain climbing,I went two point seven seconds on a bull named Fu Man Chu.And I loved deeper and I spoke sweeter,And I gave forgiveness I'd been denying.Someday, I hope you get the chance,To live like you were dying.Like tomorrow was a gift,And you got eternity,To think about what you'd do with it.And what did you do with it?And what can I do with it?And what would I do with it?Sky diving, I went rocky mountain climbing,I went two point seven seconds on a bull named Fu Man Chu.And then I loved deeper and I spoke sweeter,And I watched Blue Eagle as it was flying.Some day, I hope you get the chance,To live like you were dying.To live like you were dying.To live like you were dying.As I think about that song, you know, this guy was in his forties and he was dying of cancer. I know someone that lost her mother at the age of fifty from cancer and it makes me think. This really makes me think. By the way, I'll bet, oh, sorry. There we go, we got that paused, I'm sorry I was on CMT so it could take off, I didn't realize I didn't have a pause but again, that song makes me think. You know, what are we going to do? We think we have forever and yet we do not. Life is finite. Think about all the people that have, that you've lost in a year, whether it be a friend in Iraq or whether it be somebody's mother died of AIDS, somebody's father died of cancer, and for that, for Tim McGraw, I'll bet that song is very personal. I do not believe he wrote it. I don't think that, um, he writes most of his songs, but, but I'll bet you all didn't know he lost his father the year before. Nonetheless, it is a very personal song, and if you really listen to it, doesn't it make you think? I'm sure Brittany Murphy, too, thought that she was going to live forever. I'm sure all of us think, but now, after seeing her death, you know, just reminds us -- shouldn't we treat every day as if that day were our last? Thank God for that reminder.Rest in peace, Brittany.","Low","Low","High"
